,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Tshr,0,0,0,0,0,1,1,0,0
Atf4,0,0,1,0,0,1,0,1,0
Alas1,0,0,0,0,0,1,1,0,0
Lfng,0,0,0,0,0,1,0,0,0
Cbx5,0,0,1,0,0,1,0,1,0
Lbp,0,0,0,0,0,1,1,0,0
Cyp4f18,0,1,0,1,1,0,0,0,1
Cytip,0,0,0,0,0,1,1,0,0
Itgb2l,0,0,0,1,0,0,1,0,1
Ubr5,0,0,1,0,0,1,0,1,0
Prkcd,0,1,0,1,1,1,1,1,1
Syk,0,1,1,1,1,1,1,1,1
Birc5,0,0,1,0,0,1,1,1,0
Gmnn,0,0,1,0,0,0,0,1,0
Itgb2,0,1,0,1,1,1,1,0,1
Pik3cd,0,1,1,0,1,1,0,1,0
Atp2b4,0,0,0,0,0,1,1,0,0
Hhex,0,0,0,0,0,1,1,0,0
Hmox1,0,1,0,1,1,1,1,0,1
Hat1,0,0,1,0,0,0,0,1,0
Tmpo,0,0,1,0,0,1,0,1,0
Eif4g3,0,0,0,0,0,1,0,0,0
Gfi1,0,0,0,0,0,1,1,0,0
Fcgr2b,0,1,0,1,1,0,1,0,1
Cdkn2a,0,1,0,1,1,0,0,0,0
Rab27a,0,0,0,0,0,1,1,0,0
Itgb7,0,1,0,1,1,0,0,0,1
Rbms1,0,0,1,0,0,0,0,1,0
Sla,0,0,0,1,0,1,1,1,1
Vps13c,0,1,1,0,0,0,0,1,0
Fto,0,1,1,0,0,0,0,1,0
Pou5f1,0,0,1,0,0,0,0,1,0
Fes,0,1,0,1,1,0,0,0,0
Zfp263,0,0,0,1,0,0,1,0,1
Mcm4,0,0,1,0,0,0,0,1,0
Fcgr3,0,1,0,1,1,0,1,0,1
Rbbp4,0,0,1,0,0,1,0,1,0
Cdkn2d,0,0,0,1,1,1,1,0,1
Zfp292,0,0,0,0,0,1,1,0,0
Hnf1a,0,0,0,0,0,1,1,0,0
Tet3,0,0,0,0,0,1,1,0,0
Notch1,0,1,0,1,1,0,0,0,0
Ccne2,0,0,1,0,0,1,0,1,0
Fasn,0,0,1,0,0,0,0,1,0
Top2a,0,0,1,0,0,1,0,1,0
Irf1,0,1,0,1,1,1,1,0,1
F5,0,0,0,0,0,1,1,0,0
Rnase4,0,1,0,1,1,0,0,0,0
Gstm2,0,0,0,0,0,1,0,0,0
Myo18a,0,0,0,0,0,1,0,0,0
Slbp,0,0,1,0,0,1,0,1,0
Klf5,0,1,0,1,1,0,0,0,0
Myh9,0,1,1,1,1,1,1,1,1
Prkcb,0,0,0,1,1,1,1,0,1
Tesc,0,0,1,1,1,1,1,1,1
Cxcr4,0,0,0,1,0,1,1,0,1
Sp140,0,0,0,1,0,1,1,1,1
Ifi27,0,1,0,1,0,1,1,1,1
Nfe2l2,0,0,0,0,0,0,0,1,0
Pnrc1,0,1,0,1,1,0,1,0,1
Ezh2,0,0,1,0,0,1,0,1,0
Mdm2,0,0,0,0,0,0,1,0,0
Thrap3,0,0,1,0,0,1,0,1,0
Ndrg1,0,1,0,1,1,0,0,0,1
Vps13d,0,1,0,1,1,0,1,0,1
Sptbn1,0,0,0,0,0,1,1,0,0
Prox1,0,0,0,0,0,1,0,0,0
Twist1,0,1,0,1,1,0,0,0,0
Nr0b1,0,0,1,0,0,1,0,1,0
Nrg4,0,0,1,0,0,1,1,1,0
Rcc2,0,0,1,0,0,0,0,1,0
Cenpb,0,0,1,0,0,0,0,1,0
Id1,0,0,1,1,1,1,1,1,1
Pde4d,0,0,0,0,0,1,1,0,0
Stat1,0,0,0,1,0,1,1,1,1
Rel,0,0,1,1,1,0,0,1,1
Cep128,0,0,0,0,0,1,0,0,0
Baiap2,0,1,1,1,1,1,1,1,1
Prkdc,0,0,1,0,0,0,0,1,0
Pde2a,0,0,0,1,0,0,1,0,1
Paics,0,0,1,0,0,0,0,1,0
Rela,0,1,0,1,1,0,1,0,1
Tbp,0,0,1,0,0,1,0,1,0
Brca1,0,0,1,0,0,0,0,1,0
Nme1,0,0,1,0,0,1,0,1,0
Fndc3b,0,1,0,0,0,0,0,0,0
Angpt1,0,0,1,0,0,1,0,1,0
Adgre5,0,0,0,1,1,1,1,0,1
E2f7,0,0,1,0,0,0,1,1,0
Mtss1,0,0,0,0,0,1,0,0,0
Txnip,0,1,0,1,1,0,1,0,1
Fbxl5,0,1,1,1,1,0,0,1,1
Plk4,0,0,1,0,0,1,0,1,0
Ncf1,0,0,0,1,1,0,1,0,1
Hmgn2,0,0,0,0,0,1,1,0,0
Sp3,0,0,0,1,1,0,1,0,1
Tbxas1,0,1,0,1,1,1,1,0,1
Sh3kbp1,0,0,0,0,1,0,0,0,0
Mpzl1,0,0,0,0,0,1,1,0,0
Osbpl3,0,1,0,0,1,0,0,0,0
Epas1,0,1,0,1,0,0,0,0,1
Mki67,0,0,1,0,0,1,1,1,0
Gadd45b,0,0,0,0,0,1,1,0,0
Inhba,0,0,0,1,0,1,1,0,1
Cbx3,0,0,1,0,0,1,0,1,0
Pold4,0,1,0,1,1,0,1,0,1
Hells,0,0,1,0,0,0,0,1,0
Smg6,0,0,0,0,0,1,0,0,0
Ada,0,0,0,1,0,0,0,0,1
Cebpb,0,0,1,1,1,0,1,1,1
Mcm6,0,0,1,0,0,1,0,1,0
Ccnd3,0,1,0,1,1,0,0,0,1
Gpx3,0,0,0,0,0,1,1,0,0
Pbx2,0,0,0,0,0,1,1,0,0
Vcam1,0,0,0,1,1,1,1,0,0
Dlgap5,0,0,0,0,0,1,1,0,0
Mtus1,0,1,0,1,0,1,1,0,0
Stim1,0,0,0,0,0,1,1,0,0
Cdc25a,0,0,1,0,0,1,0,1,0
Cebpe,0,1,0,1,0,0,1,0,1
Atad2,0,0,1,0,0,0,0,1,0
Asap1,0,0,0,0,0,1,1,0,0
Runx1,0,1,0,0,1,0,0,0,0
Klf10,0,1,1,1,1,0,0,1,1
Yy1,0,0,1,0,0,0,0,1,0
Ninj1,0,0,1,1,1,0,0,1,1
