,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Tshr,0,0,0,0,0,1,1,0,0
Alas1,0,0,0,0,0,1,1,0,0
Lfng,0,0,0,0,0,1,0,0,0
Cbx5,0,0,1,0,0,0,0,1,0
Lbp,0,0,0,0,0,1,1,0,0
Cyp4f18,0,1,0,1,1,0,0,0,1
Cytip,0,0,0,0,0,1,0,0,0
Trpm2,0,0,1,1,1,0,0,1,1
Itgb2l,0,0,0,1,0,0,1,0,1
Syk,0,0,1,1,1,1,1,1,1
Gmnn,0,0,1,0,0,1,0,1,0
Itgb2,0,1,0,1,1,0,0,0,1
Smc4,0,0,0,0,0,1,1,0,0
Atp2b4,0,0,0,0,0,1,1,0,0
Hhex,0,0,0,0,0,1,1,0,0
Stat3,0,1,0,1,1,0,0,0,0
Hmox1,0,1,0,1,1,0,1,0,1
Vdr,0,0,1,0,0,0,0,1,0
Ctsd,0,0,0,1,1,0,0,0,1
Stat2,0,1,0,1,0,1,1,1,1
Fcgr2b,0,1,0,1,1,0,1,0,1
Hif1a,0,1,1,1,1,0,0,0,0
Cdca7,0,0,1,0,0,0,0,1,0
Ier3,0,1,0,1,1,1,1,0,1
Sla,0,0,0,1,0,1,1,1,1
Pou5f1,0,0,1,0,0,1,0,1,0
Cdkn1a,0,1,0,1,1,0,0,0,0
Fes,0,1,0,1,1,0,0,0,0
Gli2,0,1,0,1,0,0,1,0,1
Mcm4,0,0,1,0,0,0,0,1,0
Fcgr3,0,1,0,1,1,0,1,0,1
Rbbp4,0,0,1,0,0,1,0,1,0
Kpnb1,0,0,1,0,0,1,0,1,0
Cdkn2d,0,0,0,1,1,0,1,0,1
Dhfr,0,0,1,0,0,0,0,1,0
Uhrf1,0,0,1,0,0,0,0,1,0
Hnf1a,0,0,0,0,0,1,1,0,0
Ccne2,0,0,1,0,0,0,0,1,0
Fasn,0,0,1,0,0,1,0,1,0
