,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Atf4,0,0,1,0,0,1,0,1,0
Rock2,0,0,1,0,0,0,1,1,0
Alas1,0,0,0,0,0,1,1,0,0
Lbp,0,0,0,0,0,1,1,0,0
Trio,0,1,1,1,0,0,0,1,1
Cyp4f18,0,1,0,1,1,0,0,0,1
Fcgrt,0,1,1,1,1,0,0,0,0
Cytip,0,0,0,0,0,1,0,0,0
Trpm2,0,0,1,1,1,0,0,1,1
Itgb2l,0,0,0,1,0,1,1,0,1
Syk,0,0,1,1,1,0,1,1,1
Gmnn,0,0,1,0,0,0,0,1,0
Itgb2,0,0,0,1,1,0,0,0,1
Smc4,0,0,0,0,0,1,1,0,0
Hhex,0,0,0,0,0,1,1,0,0
Hmox1,0,1,0,1,1,0,1,0,1
Vdr,0,1,1,0,0,0,0,1,0
Gfi1,0,0,0,0,0,1,1,0,0
Itgb7,0,1,0,1,1,0,0,0,1
Hif1a,0,1,1,1,1,0,0,0,0
Sla,0,0,0,1,0,0,1,1,1
Gli2,0,0,0,1,0,0,0,0,1
Fcgr3,0,0,0,1,1,0,0,0,1
Cdkn2d,0,0,0,1,1,1,1,0,1
Ccne2,0,0,1,0,0,0,0,1,0
Irf1,0,0,0,1,1,1,0,0,1
Trp73,0,0,0,0,0,0,0,0,0
Zfp407,0,0,1,0,0,1,0,1,0
Slbp,0,0,1,0,0,1,0,1,0
Klf5,0,0,0,1,1,0,0,0,0
Myh9,0,0,1,1,1,0,1,1,1
Prkcb,0,0,0,1,1,0,1,0,1
Tesc,0,0,1,1,1,1,1,1,1
Cxcr4,0,0,0,1,0,1,0,0,1
Sp140,0,1,0,1,0,0,1,1,1
Ifi27,0,0,0,1,0,0,0,1,1
Esr2,0,0,0,1,1,0,1,0,0
Ifrd1,0,0,1,1,1,0,0,1,1
Ndrg1,0,1,0,1,1,0,0,0,1
Cenpe,0,0,0,0,0,1,1,0,0
Nrg4,0,0,1,0,0,1,1,1,0
Nfil3,0,0,1,1,1,0,0,1,1
Id1,0,0,1,1,1,0,1,1,1
Stat1,0,0,0,1,0,1,1,1,1
Rel,0,0,1,1,1,0,0,1,1
Aspm,0,0,0,0,0,1,1,0,0
Dgkg,0,0,0,1,1,1,1,0,0
Baiap2,0,0,1,1,1,0,1,1,1
Trp53,0,0,1,0,0,1,0,1,0
Pde2a,0,0,0,1,0,1,1,0,1
Srebf2,0,0,0,0,0,0,0,0,0
Tbp,0,0,1,0,0,0,0,1,0
Brca1,0,0,1,0,0,1,0,1,0
Gnaq,0,1,0,1,0,1,0,0,1
Adgre5,0,0,0,1,1,1,1,0,1
Tk1,0,0,1,0,0,1,0,1,0
Txnip,0,0,0,1,1,0,1,0,1
Arid5b,0,1,0,0,1,1,1,0,0
Bub3,0,0,0,0,0,1,0,0,0
Ncf1,0,0,0,1,1,0,1,0,1
Hmgn2,0,0,0,0,0,1,1,0,0
Sp3,0,0,0,1,1,0,1,0,1
Tbxas1,0,0,0,1,1,1,0,0,1
Epas1,0,0,0,1,0,0,0,0,1
Gata3,0,0,0,1,0,0,1,0,1
Inhba,0,0,0,1,0,1,1,0,1
Ada,0,0,0,1,0,1,1,0,1
Niban1,0,1,1,1,1,0,0,1,1
Cebpb,0,0,1,1,1,0,0,1,1
Nr1i2,0,1,0,1,1,0,1,0,1
Ccnd3,0,0,0,1,1,1,0,0,1
Gpx3,0,0,0,0,0,1,1,0,0
Fli1,0,0,0,1,1,0,1,0,0
Pbx2,0,0,0,0,0,1,1,0,0
Vcam1,0,0,0,1,1,1,1,0,0
Dlgap5,0,0,0,0,0,1,1,0,0
Mtus1,0,0,0,1,0,1,1,0,0
Atad2,0,0,1,0,0,1,0,1,0
Stat6,0,0,1,1,1,0,0,1,1
Klf10,0,0,1,1,1,0,0,1,1
Ninj1,0,0,1,1,1,0,0,1,1
Bcor,0,0,0,1,1,0,0,0,0
Apobr,0,1,0,1,1,0,1,0,1
Dnmt1,0,0,1,0,0,1,0,1,0
Ltf,0,0,0,1,0,1,1,0,1
Itgb5,0,1,0,1,0,1,0,0,0
Mitf,0,0,0,1,0,0,0,0,1
Rad21,0,0,0,0,0,1,1,0,0
Gda,0,0,0,0,0,1,1,0,0
Trp63,0,0,1,0,0,0,0,1,0
Tal1,0,1,1,1,1,1,1,0,0
